[ok] ace_teleop_2024: 17 pages, 50346 chars, 50s
[ok] autoeval_2025: 21 pages, 89988 chars, 73s
[ok] anyrotate_2024: 21 pages, 67917 chars, 94s
[ok] bidexgrasp_2026: 21 pages, 62694 chars, 38s
[ok] artigrasp_2023: 15 pages, 66190 chars, 145s
[ok] bidexhands_2022: 38 pages, 113895 chars, 78s
[ok] anyteleop_2023: 15 pages, 58334 chars, 214s
[ok] arctic_2022: 22 pages, 96762 chars, 217s
[ok] bidexhd_2024: 23 pages, 71004 chars, 94s
[ok] clutterdexgrasp_2025: 21 pages, 60614 chars, 59s
[ok] bai_unified_manip_survey_2025: 40 pages, 151546 chars, 225s
[ok] dapg_2017: 9 pages, 50802 chars, 253s
[ok] dexterous_functional_grasping_2023: 15 pages, 48257 chars, 24s
[ok] dexremoe_2025: 11 pages, 55084 chars, 233s
[ok] deximit_2026: 17 pages, 76609 chars, 313s
[have] diffusion_policy_2023
[ok] dexpilot_2020: 18 pages, 64368 chars, 262s
[ok] dexpbt_2023: 11 pages, 79879 chars, 294s
[ok] being_h0_2025: 37 pages, 147418 chars, 504s
[ok] dextrack_2025: 25 pages, 95172 chars, 116s
[ok] doglove_2025: 13 pages, 53621 chars, 165s
[ok] dime_2022: 9 pages, 40268 chars, 176s
[ok] dexterous_handover_2025: 8 pages, 41590 chars, 222s
[ok] dydexhandover_2025: 8 pages, 36863 chars, 162s
[ok] groot_n1_2025: 36 pages, 118525 chars, 48s
[ok] dp3_2024: 17 pages, 73769 chars, 291s
[ok] geometric_retargeting_2025: 8 pages, 31651 chars, 126s
[ok] graspxl_2024: 23 pages, 59237 chars, 121s
[ok] isaaclab_2025: 40 pages, 138473 chars, 66s
[ok] hoi4d_2022: 17 pages, 69184 chars, 119s
[ok] force_grasp_sim2real_2026: 23 pages, 78080 chars, 241s
[ok] human2sim2robot_2025: 24 pages, 87315 chars, 124s
[ok] libero_2023: 40 pages, 87286 chars, 64s
[ok] metis_2025: 17 pages, 74533 chars, 60s
[ok] omnigrasp_2024: 18 pages, 76236 chars, 67s
[ok] oakink_2022: 17 pages, 64691 chars, 138s
[ok] openvla_2024: 37 pages, 138042 chars, 59s
[ok] maniptrans_2025: 17 pages, 85703 chars, 249s
[ok] humanoidbench_2024: 24 pages, 91818 chars, 433s
[ok] physhoi_2023: 20 pages, 78507 chars, 167s
[ok] rdt1b_2024: 28 pages, 104381 chars, 57s
[ok] lbm_careful_examination_2025: 39 pages, 167803 chars, 506s
[ok] resdex_2024: 15 pages, 50090 chars, 50s
[ok] poise_2026: 8 pages, 42105 chars, 200s
[ok] pi0_2024: 17 pages, 89344 chars, 438s
OCR_DONE
